Chardonnay,"<div> <p>🍷<strong>Wine color - </strong>White</p><p>🍓<strong>Aromas - </strong> Smoked, grilled, nuts, vanilla, apple, tropical fruits, pineapple, earthy, minerals, mushrooms</p></div>"
Gewurztraminer,"<div><p>🍷<strong>Wine color - </strong></p>White, intense<p>🍓<strong>Aromas - </strong>Rose, litchi, cinnamon, pepper aromas</p><p>👄<strong>Mouthfeel - </strong>Intense aromas</p></div>"
Pinot gris,"<div><p>🍷<strong>Wine color - </strong>White, darker than most of the white wines</p><p>👅<strong>Basic tastes - </strong>Low acidity</p><p>🍓<strong>Aromas - </strong>Neutral aromas of fruits' skin such as peach or orange</p><p>👄<strong>Mouthfeel - </strong>Medium body</p></div>"
Riesling,"<div><p>🍷<strong>Wine color - </strong>White</p><p>👅<strong>Basic tastes - </strong>Strong acidity</p><p>🍓<strong>Aromas - </strong>Fruits, lemon, grapefruit, peach, apple, lime, lemongrass, flowers and minerals</p><p>👄<strong>Mouthfeel - </strong>Light and refreshing</p></div>"
Sauvignon Blanc,"<div><p>🍷<strong>Wine color - </strong>White</p><p>👅<strong>Basic tastes - </strong>Very acid</p><p>🍓<strong>Aromas - </strong>Herbal, minerals, grass, fruits such as melon In California it has Oak taste</p></div>"
Assyrtiko,<div><p>🍷<strong>Wine color - </strong>White</p><p>👅<strong>Basic tastes - </strong>Good acidity</p></div>
Fiano di Avellino,"<div><p>🍷<strong>Wine color - </strong>White</p><p>🍓<strong>Aromas - </strong>Flowers</p><p>👄<strong>Mouthfeel - </strong>Delicate, subtil</p></div>"
Greco di Tufo,"<div><p>🍷<strong>Wine color - </strong>White</p><p>🍓<strong>Aromas - </strong>Mineral, intense, white flowers and white fruits</p><p>👄<strong>Mouthfeel - </strong>Very fresh, intense</p></div>"
Grüner Veltliner,"<div><p>🍷<strong>Wine color - </strong>White</p><p>🍓<strong>Aromas - </strong>White pepper, mellifère (nectar plants)</p></div>"
Petite arvine,<div><p>🍷<strong>Wine color - </strong>White</p><p>🍓<strong>Aromas - </strong>Exotic or salin</p></div>
Petit manseng,"<div><p>🍷<strong>Wine color - </strong>White</p><p>👅<strong>Basic tastes - </strong>Sweet but always lively</p><p>🍓<strong>Aromas - </strong>candied pinapple, vanilla, and white truffle</p></div>"
Roussane,<div><p>🍷<strong>Wine color - </strong>White</p><p>👅<strong>Basic tastes - </strong></p><p>🍓<strong>Aromas - </strong>candied pinapple</p><p>👄<strong>Mouthfeel - </strong>Smouth</p></div>
Vermentino,"<div><p>🍷<strong>Wine color - </strong>White</p><p>🍓<strong>Aromas - </strong>Floral, mellifère, little bit mineral</p></div>"
Viognier,"<div><p>🍷<strong>Wine color - </strong>White</p><p>🍓<strong>Aromas - </strong>Dry apricot, violet, musc, tobacco, licorice</p></div>"
Müller-Thurgau,<div><p>🍷<strong>Wine color - </strong>White</p><p>👅<strong>Basic tastes - </strong>Fresh</p><p>👄<strong>Mouthfeel - </strong>Fresh</p></div>
Muscat,<div><p>🍷<strong>Wine color - </strong>White</p><p>🍓<strong>Aromas - </strong>Floral</p></div>
Pinot blanc,"<div><p>🍷<strong>Wine color - </strong>White</p><p>👅<strong>Basic tastes - </strong>Strong acidity, and low sweetness</p><p>🍓<strong>Aromas - </strong>Neutral</p></div>"
Sémillon,"<div><p>🍷<strong>Wine color - </strong>White</p><p>👅<strong>Basic tastes - </strong>Low acidity</p><p>🍓<strong>Aromas - </strong>Lanolin, citrus, honey and vegetal</p></div>"
Trebbiano,"<div><p>🍷<strong>Wine color - </strong>White</p><p>👅<strong>Basic tastes - </strong>Strong acidity, low level of sweet</p><p>🍓<strong>Aromas - </strong>Neutral</p></div>"
